country_name,alt_country_name,capital,alt_location,place_to_visit,place_to_eat,place_to_stay,country_pop(m),category(s),crime_rate,safety_index,tourist_development_index,touritisity(1-5)
Saint Vincent and the Grenadines,St Vincent and Grenadines,Kingstown,Port Elizabeth,La Soufriere volcano,French Verandah,Wves Villa Guesthouse,0.101323,"tropical paradise, cultural, natural beauty, adventure",62,38,4.01,
Samoa,,Apia,Safotu,To Sua Ocean Trench,Nourish Café,Sheraton Samoa Aggie Grey's,0.216663,"tropical paradise, cultural, natural beauty, adventure",62,38,4.01,
San Marino,,San Marino,Borgo Maggiore,Guaita Tower,La Terrazza,Grand Hotel San Marino,0.03386,"historical, cultural, natural beauty",62,38,4.01,
Sao Tome and Principe,,São Tomé,Santo Antonio,Pico Cão Grande,Monte Mar Restaurante São Tomé,Sundy Praia,0.230871,"tropical paradise, wildlife, natural beauty, adventure, cultural",62,38,4.01,
Saudi Arabia,,Riyadh,Madinah,Edge of The World,MYAZU Riyadh,Elaf Qinwan Hotel I,33.26,"historical, religious, cultural, adventure, natural beauty",26.9,73.1,4.23,
Senegal,,Dakar,Kaolack,African Renaissance Monument,Restaurant Le Lagon 1,Ankel Campament,18.08,"cultural, historical, adventure, natural beauty",62,38,3.24,
Serbia,,Belgrade,Kraljevo,Belgrade Fortress,Casa Nova,Old Town Apartments,6.623,"historical, cultural, adventure, natural beauty",38.3,61.7,3.86,
Seychelles,,Victoria,La Passe,Anse Lazio,Del Place Restaurant,Chez Batista Villas,0.119773,"tropical paradise, natural beauty, wildlife, adventure",62,38,4.01,
Sierra Leone,,Free town,Koidu,Bunce Island,Tropical Restaurant,Robinson's Hut Hotel,8.461,"natural beauty, cultural, adventure, wildlife",62,38,2.89,
Singapore,,Singapore,Jurong,Universal Studios Singapore,Burnt Ends,Vibe Hotel Singapore Orchard,5.918,"cultural, foodie, artistic, historical, natural beauty",23.5,76.5,4.76,
Sint Maarten,,Philipsburg,Lower Prince's Quarter,Anguilla Getaway Cruise,Dutch Blonde Beach Bar & Restaurant,Sonesta Maho Beach Resort,0.042749,"tropical paradise, adventure, cultural, foodie",62,38,4.01,
Slovakia,,Bratislava,Tren?ín,Bratislava Castle,Bratislava Flagship,Patio Hostel,5.427,"adventure, natural beauty, cultural, historical",31.1,68.9,4,
Slovenia,,Ljubljana,Koper,Museum of Broken Relationships,Restavracija Strelec,House Budkovic,2.12,"natural beauty, adventure, cultural, historical, wildlife",24.2,75.8,4.22,
Solomon Islands,,Honiara,Lata,Marovo Lagoon,Taste & Traditions,Fatboys Resort,0.800005,"tropical paradise, wildlife, natural beauty, adventure",62,38,4.01,
Somalia,,Mogadishu,Afgoye,Laas Geel,Carshi,Carro Edeg Hotel Hargeisa,18.36,"historical, cultural, natural beauty, adventure",65.2,34.8,4.01,
South Africa,,Cape Town,Johannesburg,Kruger National Park,PIER Restaurant,Gooderson Drakenberg,63.21,"wildlife, adventure, cultural, natural beauty, historical",75.4,24.6,3.99,
South Korea,,Seoul,Busan,Gyeongbokgung Palace,Hangong-Gan,Seoul N Hotel Donedaemun,57.71,"cultural, historical, artistic, foodie, adventure",24.9,75.1,4.74,
Spain,,Madrid,Barcelona,Basílica de la Sagrada Família,Disfrutar,The Hat Madrid,48.35,"historical, cultural, foodie, artistic, natural beauty, adventure",36.2,63.8,5.18,
Sri Lanka,,Sri Jayawardenepura Kotte,Galle,Sigiriya The Ancient Rock Fortress,Ministry of Crab,Hikka Tranz by Cinnamon,22.04,"cultural, historical, religious, wildlife, tropical paradise, adventure",42.1,57.9,3.69,
Sudan,,Khartoum,El Obeid,Sudan National Museum,Ozone Restaurant,Corinthia Hotel,50.04,"historical, cultural, religious, natural beauty",45.4,54.6,4.01,
South Sudan,,Juba ,Malakal,Bandingilo National Park,5G Restaurant & Café,Pyramid Continental Hotel,11.48,"cultural, adventure, wildlife, natural beauty",62,38,4.01,
Suriname,,Paramaribo,Lelydorp,Fort Zeelandia,De Gadri,Royal Torarica,0.628886,"cultural, adventure, natural beauty, wildlife",62,38,4.01,
Sweden,,Stockholm,Malmö,Vasa Museum,Lilla Ego,Generator Stockholm,10.54,"natural beauty, adventure, cultural, historical, wildlife",48.4,51.6,4.57,
Switzerland,,Bern,Geneva,Chillon Castle,Zeughauskeller,Lake Geneva Hotel,8.888,"natural beauty, adventure, cultural, historical, artisitc",25.3,74.7,4.81,
Syria,,Damascus,Deir ez-Zur,Aleppo Citadel,Naranj,Beit al-Mamlouka,23.59,"historical, religious, cultural",69.1,30.9,4.01,
Taiwan,,Taipei City,Keelung City,Chiang Kai-shek Memorial Hall,Dong Yi Pork Chop,Hotel Leisure Taichung,23.13,"cultural, foodie, adventure, natural beauty, religious",62,38,4.01,
Tajikistan,,Dushanbe,Kulob,Pamir Mountains,Restaurant Forel (Trout),Hotel Ayni,10.39,"adventure, natural beauty, cultural, historical",62,38,3.42,
Tanzania,,Dodoma,Mwanza,Mount Kilimanjaro,Samaki Samaki Restaurant,Kobe Nature Homestay,66.62,"wildlife, adventure, cultural, historical, natural beauty",54.5,45.5,3.65,
Thailand,,Bangkok,Chiang Mai,The Grand Palace,EAT ME RESTAURANT,Phra Singh Village,71.7,"tropical paradise,foodie, adventure, cultural, religious, natural beauty",37.9,62.1,4.12,
Togo,,Lomé,Sokode,Independence Monument,Blue Turtle Bay,Hôtel Merveille Lomé,9.304,"cultural, adventure, natural beauty",62,38,4.01,
Tonga,,Nuku'alofa,Kolonga,Anahulu Cave,Coffee Post,Matafonua Lodge Resort and Restaurant,0.104597,"tropical paradise, cultural, natural beauty, adventure",62,38,4.01,
Trinidad and Tobago,,Port of Spain,Arima,Fort King George,Buzo Osteria Italiana,Hyatt Regency Trinidad,1.367,"tropical paradise, wildlife, adventure, cultural",70.8,29.2,3.52,
Tunisia,,Tunis,Sousse,National Museum of Bardo,Dar EI Jeld,Mövenpick Hotel du Lac Tunis,12.2,"historical, cultural, adventure, natural beauty",44.4,55.6,3.6,
Turkey,,Ankara,Istanbul,Hagia Sophia Grand Mosque,Byzantion,Villa Sonata Apart Hotel,85.33,"historical, cultural, religious, foodie, adventure, natural beauty",40.9,59.1,4.39,
Turkmenistan,,Ashgabat,Turkmenabat,Kow Ata,Hezzet Restaurant,Divan Hotel,7.364,"historical, cultural, adventure, natural beauty",62,38,4.01,
Tuvalu,,Funafuti,Senala,Tuvalu National Library,Sue's Kitchen,Funafuti Lagoon Hotel,0.009816,"tropical paradise, natural beauty, cultural",62,38,4.01,
Uganda,,Kampala,Hoima,Murchison Falls National Park,Cantine Divino,Kampala Surburbs Apartments,48.66,"wildlife, adventure, cultural, natural beauty",55,45,4.01,
Ukraine,,Kyiv,Donetsk,St. Sophia's Cathedral,KANAPA Restaurant,Hilton Kyiv,37.73,"historical, cultural, artistic, adventure, natural beauty",46.9,53.1,4.01,
United Arab Emirates,UAE,Abu Dhabi,Dubai,Sheikh Zayed Mosque,AL Khayma Heritage Restaurant Abu Dhabi,Dubai Palm Hotel,10.48,"cultural, adventure, artistic, historical, foodie",15.6,84.4,4.62,
United Kingdom,UK,London,Liverpool,Buckingham Palace,The Yacht,Rossendale Holiday Cottages & Glamping,68.35,"historical, cultural, artistic, foodie, natural beauty",47.4,52.6,4.96,
United States,US,Washington ,Houston,Statue of Liberty,Terrace 54 Bar + Table,The Society Hotel ,340.1,"adventure, natural beauty, historical, cultural, foodie, wildlife",49.3,50.7,5.24,
United States Virgin Islands,Virgin Islands,Charlotte Amalie,Cruz Bay,Coral World Ocean Park,The Twisted Cork Café,Bungalows On the Bay,0.104917,"tropical paradise, adventure, cultural, natural beauty",62,38,4.01,
Uruguay,,Montevideo,Colonia del Sacramento,Port Market,El Fogón,Palladium Business Hotel,3.388,"cultural, foodie, natural beauty, adventure",52.2,47.8,3.79,
Uzbekistan,,Tashkent,Bukhara,Chorsu Baazar,Khiva Restaurant,Hayot Hotel,35.65,"historical, cultural, adventure, religious",30.5,69.5,3.68,
Vanuatu ,,Port Vila,Norsup,Millennium Cave,The Stonegrill Restaurant,Hideaway Island & Marine,0.320409,"tropical paradise, natural beauty, wildlife, adventure, cultural",62,38,4.01,
Vatican City,,Vatican City,Saint Peter's Basilica,Sistine Chapel,Ristorante dei Musei,B&b Vatican Inside,0.000882,"religious, historical, cultural, artistic",62,38,4.01,
Venezuela,,Caracas,Ciudad Bolivar,Avila National Park ,Solar del Este,Wyndham Concorde Isla,28.3,"natural beauty, adventure, wildlife, cultural",81.2,18.8,3.34,
Vietnam,,Hanoi,Ho Chi Minh City,The Marble Mountains,Vo Roof,Ana Mandara Villas Dalat,100.4,"historical, cultural, foodie, adventure, natural beauty",42.2,57.8,3.96,
West Bank,,Hebron,Bethlehem,Church of the Nativity,Al Sufara Restaurant,The Walled Off Hotel,2.747,"religious, historical, cultural",62,38,4.01,
Yemen,,Sanaa,Ibb,Socotra Island,Mumbai Darbar Indian Restaurant,Hayd Al Jazeel Resort,39.39,"historical, religious, cultural, natural beauty",68.6,31.4,4.01,
Zambia,,Lusaka,Kitwe,Victoria Falls,Urban Yard,Holidat Inn Lusaka,20.72,"wildlife, adventure, natural beauty, cultural",46.4,53.6,3.34,
Zimbabwe,,Harare,Kadoma,Hwange National Park,Victoria 22 Restaurant,Victoria Falls River Lodge,16.34,"wildlife, adventure, historical, cultural, natural beauty",60.9,39.1,3.19,
,,,,,,,,Average:,,,,
,,,,,,,,62.036,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,4.01,,,,
